Episode,Reward,Loss,Acceptance_Ratio,Revenue_Cost_Ratio,CPU_Utilization,Bandwidth_Utilization,Inference_Latency_ms,Forecast_MAE
0,25679.453103374864,34.41432339668274,96.0,2.4999999999999996,90.56899641577061,3.219367216350792,2708.953380584717,13.918960571289062
1,26878.921749856065,26.20087367296219,96.0,2.4999999999999996,91.17352056168505,3.4383441460993236,2263.4379863739014,11.32552719116211
2,26287.016498658955,15.436111825704575,100.0,2.4999999999999996,88.84716057812679,0.7636027247498108,2387.929916381836,8.441856384277344
3,17060.540250493345,9.671526792198419,75.0,2.5,66.12429378531074,1.0481205534703937,2473.203659057617,5.021157264709473
4,25433.4746787997,4.891248943060637,100.0,2.4999999999999996,92.99719887955182,1.5040621935845357,2582.1633338928223,1.7467479705810547
5,16579.913804647214,2.634139825999737,75.0,2.5,69.00045024763621,1.152618098033941,2191.129684448242,0.9778404235839844
6,25398.652398651175,1.3387541219592094,99.0,2.5,94.72060335961604,1.5808478576099627,2262.0341777801514,1.5305328369140625
7,27711.71093995446,0.9574105407297612,100.0,2.4999999999999996,97.22501958151504,1.7048733147983004,2397.64142036438,2.4908218383789062
8,21620.81555766872,0.9364791023731232,90.0,2.5,84.18472063854048,0.8417555654072133,2341.892719268799,1.807046890258789
9,21691.96704765036,1.6088404965400696,89.0,2.5,84.78882911754607,1.5681780978883615,2593.686580657959,2.736940383911133
10,22835.05954994447,1.0027435714006423,99.0,2.5,88.83208361735969,1.5123327819023795,2385.026693344116,3.191537857055664
11,23970.147232027146,1.2089909616112708,100.0,2.5,90.89882565492321,1.4865455487268588,2568.892002105713,2.272115707397461
12,25691.97388229524,0.9835443532466889,100.0,2.4999999999999996,90.14532243415077,1.9949869558545195,2537.057638168335,3.648571014404297
13,23992.273613668498,1.0571571862697602,97.0,2.5,91.81949538735134,1.8153466093595427,2514.0185356140137,3.000732421875
14,16363.165065480593,0.8416513127088546,77.0,2.5,70.94991364421416,1.4076764837556175,2417.7231788635254,3.5759449005126953
15,22503.28618382037,1.0122914236783982,95.0,2.5,89.47368421052632,1.0110228428488963,2380.0766468048096,3.0005531311035156
16,21619.882210542113,0.7650123436748981,94.0,2.5,89.26508889140527,0.8111091290193104,2424.2618083953857,3.2878246307373047
17,24048.395477085443,1.2493001709878444,98.0,2.4999999999999996,88.59599502206133,0.9770967592377949,2463.2856845855713,3.046720504760742
18,25902.302333471624,1.3749710735678673,98.0,2.5,92.82091738983434,1.6340375612833253,2361.969470977783,1.7761554718017578
19,23535.662615469508,1.1739341028034687,96.0,2.5,89.64456596035544,1.1792263264860892,2427.490234375,2.9714298248291016
20,25065.703058238305,0.8941315694153309,100.0,2.5,93.37589784517158,1.6117352884604506,2371.2966442108154,3.4323463439941406
21,21211.65020203859,1.4043407741189002,96.0,2.5,86.13097264782658,0.9092885918329976,2454.091787338257,3.1376171112060547
22,25436.934844541378,1.1398479741811753,100.0,2.5,92.51517194875252,0.9770563628101003,2423.285961151123,3.6708126068115234
23,25887.063379746363,1.065904920846224,98.0,2.5,93.09023342236674,1.4364406536779415,2267.0345306396484,3.4899024963378906
24,21039.524293754526,1.1408039946854114,88.0,2.5,78.4118253695428,1.3922451827970632,2509.326934814453,3.115346908569336
25,20776.391210677375,1.112580269575119,88.0,2.5,81.7655236329935,0.8723765685791002,2392.439365386963,2.8839874267578125
26,27513.2553935902,0.9871272706985473,99.0,2.4999999999999996,94.11234943149836,1.3709565458836594,2553.95770072937,2.435903549194336
27,25264.069413722726,1.0275705990195274,100.0,2.5,93.20867270850063,0.8356194258559935,2449.0511417388916,3.354381561279297
28,23146.71079353073,1.0174304223060608,95.0,2.5,93.54688410017472,1.8652448675439308,2552.5736808776855,3.117145538330078
29,22767.954554251104,0.6707399918138981,98.0,2.5,88.36846213895394,1.4171074436448663,2469.118118286133,2.7954978942871094
30,18850.896528886497,0.9585870634019374,86.0,2.5,81.84011026878015,0.849813591164748,2646.158218383789,3.143909454345703
31,28447.935364405163,0.9718262092769145,100.0,2.4999999999999996,98.22545785462404,1.8016454916885878,2387.3915672302246,3.2555923461914062
32,24187.943295130284,1.062300550788641,100.0,2.5,92.55030522269952,1.8598779243762364,2529.270887374878,2.925395965576172
33,21331.38998032065,1.0047342902421952,87.0,2.5,79.00811335847332,1.9934411943447499,2355.7229042053223,3.019655227661133
34,21741.506284126783,0.6938351754844189,94.0,2.4999999999999996,88.139319601944,2.0990168130781313,2574.0206241607666,2.7817745208740234
35,23758.160914865493,0.9825931188464164,100.0,2.5,92.93193717277487,0.9627755154118509,2522.139549255371,2.8654747009277344
